Date,Value
2023-01-11 00:00:00,100.4
2023-01-12 00:00:00,100.6
2023-01-13 00:00:00,100.8
2023-01-14 00:00:00,110.0
2023-01-15 00:00:00,110.2
2023-01-16 00:00:00,110.4
2023-01-17 00:00:00,110.3
2023-01-18 00:00:00,110.1
2023-01-19 00:00:00,100.9
2023-01-20 00:00:00,100.8
2023-01-21 00:00:00,100.7
2023-01-22 00:00:00,100.6
2023-01-23 00:00:00,100.5
2023-01-24 00:00:00,100.4
2023-01-25 00:00:00,100.3
2023-01-26 00:00:00,100.2
2023-01-27 00:00:00,100.1
2023-01-28 00:00:00,100.0
2023-01-29 00:00:00,100.2
2023-01-30 00:00:00,100.3
2023-01-31 00:00:00,100.5
2023-02-01 00:00:00,100.7
2023-02-02 00:00:00,100.8
2023-02-07 00:00:00,110.1
2023-02-08 00:00:00,100.9
2023-02-09 00:00:00,100.8
2023-02-10 00:00:00,100.7
2023-02-11 00:00:00,100.6
2023-02-12 00:00:00,100.5
2023-02-13 00:00:00,100.4
2023-02-14 00:00:00,100.3
2023-02-15 00:00:00,100.2
2023-02-16 00:00:00,100.1
2023-02-17 00:00:00,100.0
2023-02-18 00:00:00,110.0
2023-02-19 00:00:00,110.1
2023-02-20 00:00:00,100.0
2023-02-21 00:00:00,100.6
2023-02-22 00:00:00,100.5
2023-02-23 00:00:00,100.4
2023-02-24 00:00:00,100.3
2023-02-25 00:00:00,100.2
2023-02-26 00:00:00,100.1
2023-02-27 00:00:00,100.0
2023-02-28 00:00:00,100.1
2023-03-01 00:00:00,100.2
2023-03-02 00:00:00,100.3
2023-03-03 00:00:00,100.4
2023-03-04 00:00:00,100.5
2023-03-05 00:00:00,100.6
2023-03-06 00:00:00,100.7
2023-03-07 00:00:00,100.8
2023-03-08 00:00:00,100.9
2023-03-09 00:00:00,100.0
2023-03-10 00:00:00,100.2
2023-03-18 00:00:00,110.0
2023-03-19 00:00:00,100.8
2023-03-20 00:00:00,100.6
2023-03-21 00:00:00,100.4
2023-03-22 00:00:00,100.2
2023-03-23 00:00:00,100.0
2023-03-24 00:00:00,100.8
2023-03-25 00:00:00,100.6
2023-03-26 00:00:00,100.4
2023-03-27 00:00:00,100.2
2023-03-28 00:00:00,100.0
2023-03-29 00:00:00,100.8
2023-04-01 00:00:00,100.2
2023-04-02 00:00:00,100.0
2023-04-03 00:00:00,100.8
2023-04-04 00:00:00,100.6
2023-04-05 00:00:00,100.4
2023-04-06 00:00:00,100.2
2023-04-07 00:00:00,100.0
2023-04-08 00:00:00,100.8
2023-04-09 00:00:00,100.6
2023-04-10 00:00:00,100.4
2023-04-11 00:00:00,100.2
2023-04-12 00:00:00,100.0
2023-05-01 00:00:00,1200.2
2023-05-02 00:00:00,1200.0
2023-05-03 00:00:00,1100.8
2023-05-04 00:00:00,1100.6
2023-05-05 00:00:00,1100.4
2023-05-06 00:00:00,1100.2
2023-05-07 00:00:00,1100.0
2023-05-08 00:00:00,1000.8
2023-05-09 00:00:00,1000.6
2023-05-10 00:00:00,1000.4
2023-05-11 00:00:00,1000.2
2023-05-12 00:00:00,1000.0
2023-05-13 00:00:00,1000.2
2023-05-14 00:00:00,1000.4
2023-05-15 00:00:00,1000.6
2023-05-16 00:00:00,1000.8
2023-05-17 00:00:00,1000.0
2023-05-18 00:00:00,1000.2
2023-05-19 00:00:00,1000.4
2023-05-20 00:00:00,1000.6
2023-05-21 00:00:00,1000.8
2023-05-22 00:00:00,1000.0
2023-05-23 00:00:00,1000.2
2023-05-24 00:00:00,600.4
2023-05-25 00:00:00,1000.6
2023-05-26 00:00:00,1000.8
2023-05-27 00:00:00,1100.0
2023-05-28 00:00:00,1100.2
2023-05-29 00:00:00,1100.4
2023-05-30 00:00:00,1100.6
2023-05-31 00:00:00,1100.8
2023-06-01 00:00:00,1100.0
2023-06-02 00:00:00,1100.2
2023-06-03 00:00:00,1700.4
2023-06-04 00:00:00,1100.6
2023-06-05 00:00:00,1100.8
2023-06-06 00:00:00,1000.0
2023-06-07 00:00:00,1000.2
2023-06-08 00:00:00,1000.4
2023-06-09 00:00:00,1000.6
2023-06-10 00:00:00,1000.8
2023-06-11 00:00:00,1000.0
2023-06-12 00:00:00,1100.2
2023-06-13 00:00:00,1100.4
2023-06-14 00:00:00,1100.6
2023-06-15 00:00:00,1100.8
2023-06-16 00:00:00,1000.0
2023-06-17 00:00:00,1000.2
2023-06-18 00:00:00,1000.4
2023-06-19 00:00:00,1000.6
2023-06-20 00:00:00,1000.8


